                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50841,                 1.2244,                 1.3138,                 1.0402,                0.29027,                0.38314,                0.35543,                0.28593,                0.28504,                0.36648,                0.32498,                0.26427,                0.86044,                 3.1142,                 5.9652,                 1.5009,             0.00041411,             0.00041411,             0.00041411
                      2,                0.59284,                 1.3463,                 0.9453,                 1.0999,                0.68578,                0.57914,                0.62177,                 0.5203,                 0.6578,                0.55389,                0.56287,                0.44195,                0.75169,                   2.25,                 1.7317,                 1.2961,             0.00055662,             0.00055662,             0.00055662
                      3,                0.49252,                 1.1821,                0.74673,                 1.0364,                0.82768,                0.72455,                0.81847,                0.72648,                0.88237,                 0.6898,                0.78421,                0.65824,                0.54929,                 1.7799,                0.89256,                 1.1266,             0.00042413,             0.00042413,             0.00042413
